Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Strongly agree,Neutral,Neutral,Somewhat similar,,Comfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Don't know/not sure,Strongly disagree,Don't know/not sure,Strongly agree,Don't know/not sure,Agree,Agree,Neutral,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,"Strongly agree
",Male,,1952,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Moderate,White,,Retired,,Once or twice a month,"$30,000-$40,000"
Agree,Neutral,Disagree,Neither similar nor different,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Female,,1987,"Masters (MA, MS, MBA, Med)",Liberal,East Asian,,Working for pay,,Never,"Greater than $100,000"
Strongly agree,Disagree,Disagree,Very similar,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Very uncomfortable,it is too much influence from the humans,Very uncomfortable,Its not natural for the cattle and will harm the overall well being,Comfortable,,Very comfortable,I have seen in a wild life the same and it worked,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Female,,1986,"Bachelors (BA, BS, AB)",Liberal,White,,Looking for work,,"Rarely
","$40,000-$50,000"
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat similar,all three processes are related to modifying genes (whether fully or partially),Neither comfortable nor uncomfortable,,Don't know/ not sure,why use the sweetness gene from a sugar beet instead of the original heirloom tomato if it is going to be altered in the first place?,Don't know/not sure,,Neither comfortable nor uncomfortable,,Don't know/not sure,"if wheat is more resilient to heat and prolonged drought, that will help with hunger issues in the world",Uncomfortable,don't feel it is as necessary for a crop like blueberries,"No change: production of gene-edited crops and pesticide use stay the same
 ",,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Don't know/ not sure,Don't know/ not sure,Agree,Don't know/ not sure,Agree,Neutral,Agree,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Neutral,Neutral,Neutral,Don't know/not sure,Neutral,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1971,"Bachelors (BA, BS, AB)",Liberal,East Asian,,"Unpaid household work (children, family, etc.)",,Once or twice a month,I prefer not to say
Agree,Agree,Disagree,Somewhat similar,,Neither comfortable nor uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Disagree,Disagree,Don't know/not sure,Disagree,Don't know/not sure,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Male,,1942,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Liberal,White,,Retired,,"Rarely
","$60,000-$80,000"
Agree,Agree,Agree,Somewhat similar,I would say its modified by humans.,Neither comfortable nor uncomfortable,I dont know I am used to round tomatoes overall.,Don't know/ not sure,I really dont eat beets,Comfortable,I just don't want cows to feel pain if thats a way to not have them feel pain.,Neither comfortable nor uncomfortable,I think as long as its normal and makes things better.,Uncomfortable,I don't like that this things being genetically modified if done.,Very uncomfortable,I don't like that its being modified.,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",If pestisides can be used less I would like that.,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",If ovearall things are just better.,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"Strongly agree
","Strongly agree
","Strongly agree
","Strongly agree
",Male,,1987,"Bachelors (BA, BS, AB)",Moderate,Hispanic,,Working for pay,,"Rarely
","$20,000-$30,000"
Disagree,Strongly disagree,Strongly disagree,Somewhat similar,they all involve transferring genes,Comfortable,it feels safe,Comfortable,pretty safe,Very uncomfortable,it changes the norm,Very uncomfortable,not normal,Comfortable,safe enough,Neither comfortable nor uncomfortable,safe enough,"A large decrease in production of gene-edited crops, in exchange for a large increase in pesticide use
 ",I don't feel good about playing around with genes,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",I think this is good for climate,,,,,Strongly agree,Don't know/not sure,Strongly agree,Agree,Neutral,Don't know/not sure,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Don't know/ not sure,Strongly agree,Strongly agree,Agree,Don't know/not sure,Disagree,Don't know/not sure,Don't know/not sure,Agree,Strongly agree,Strongly agree,Strongly agree,Don't know/not sure,Neutral,"Strongly agree
",Don't know/not sure,Don't know/not sure,"Strongly agree
",Disagree,Agree,Don't know/not sure,Female,,1963,"Bachelors (BA, BS, AB)",Moderate,East Asian,,Working for pay,,Once a week,"$80,000-$100,000"
Agree,Agree,Disagree,Somewhat different,"Gene driving seems to be more about mating strategically, as opposed to working in the microscopic level ",Neither comfortable nor uncomfortable,,Uncomfortable,,Comfortable,,Comfortable,,Comfortable,,Comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Don't know/not sure,Neutral,Agree,Neutral,Strongly disagree,Disagree,Disagree,"Strongly agree
",Neutral,Agree,Neutral,Agree,Disagree,Agree,Male,,1974,"Masters (MA, MS, MBA, Med)",Moderate,White,,Working for pay,,"Rarely
","$80,000-$100,000"
Strongly agree,Strongly agree,Disagree,Somewhat different,Relate to similar stuff,Comfortable,Improves he product,Comfortable,As long as it works and this is a plant -would not be comfortable with an animal,Very uncomfortable,Dont like fooling around with genes for animals,Very uncomfortable,Same as before,Very comfortable,Improved product,Very comfortable,PLant based ok with me not so for animal products,,,,,Don't know/not sure,Really dont know enough,Don't know/not sure,dont know enough about its safety,Neutral,Disagree,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Agree,Agree,Agree,Agree,Don't know/ not sure,Don't know/ not sure,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,"Strongly agree
",Agree,Disagree,"Strongly agree
",Female,,1956,"Bachelors (BA, BS, AB)",Conservative,White,,Retired,,Once or twice a month,"$60,000-$80,000"
Strongly agree,Neutral,Disagree,Somewhat similar,,Neither comfortable nor uncomfortable,,Uncomfortable,"Again, don't piss off mother nature",Very uncomfortable,,Very uncomfortable,,Uncomfortable,Nature will modify as needed,Uncomfortable,Any tampering is dangerous,,,,,Don't know/not sure,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,"Strongly agree
",Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Male,,1949,"Bachelors (BA, BS, AB)",Conservative,White,,Retired,,"Rarely
","$60,000-$80,000"
Agree,Agree,Disagree,Somewhat similar,,Uncomfortable,I don't like that you lose the taste ,Neither comfortable nor uncomfortable,,Don't know/not sure,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,,,,,Agree,Don't know/not sure,Disagree,Don't know/not sure,Strongly agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Don't know/ not sure,Agree,Disagree,Agree,Disagree,Disagree,Don't know/not sure,Disagree,Don't know/not sure,Strongly agree,Agree,Strongly agree,Don't know/not sure,Disagree,Don't know/not sure,"Strongly agree
","Strongly agree
",Don't know/not sure,Agree,"Strongly agree
","Strongly agree
",Female,,1985,"Some college, no degree",Liberal,White,,Working for pay,,Never,"$60,000-$80,000"
Agree,Agree,Strongly disagree,Somewhat similar,All support the the gene modification process.,Comfortable,Still has some flavor.  Eat tomatoes almost every day of the week during the summer when they are ripe off the vine.,Uncomfortable,Two different vegetables and probably no major advantage to exchanging genes.,Very comfortable,Farming is more dangerous than most americans realize.   Anything to provide increase safety to farmers and their help is beneficial.,Very comfortable,"As long as there is no injuries to the cows, it is okay.",Very comfortable,"With the increase of a warmer environment and increase population, anything to increase food supply is good.",Very comfortable,"Same, fruit like blueberries are healthy for all and should be available to more people.","A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ","The less use of pesticides, the better.","A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Don't know/not sure,Don't know/not sure,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,"Strongly agree
",Agree,Don't know/not sure,"Strongly agree
",Don't know/not sure,Agree,"Strongly agree
",Male,,1951,"Masters (MA, MS, MBA, Med)",Conservative,White,,Retired,,Once a week,"$40,000-$50,000"
Agree,Agree,Disagree,Somewhat similar,,Comfortable,,Don't know/ not sure,what is the benefit of using a sweetness gene from sugar beet instead of heirloom tomato,Comfortable,"Traditional technique is better than injuring young dairy cattle. Using the traditional technique, farm-raised cattle will be bred to not have horns which is better than having to continually de-horn young cattle over and over again",Comfortable,,Very comfortable,,Very comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Neutral,Disagree,Agree,Don't know/ not sure,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Don't know/not sure,Agree,Neutral,Disagree,Disagree,"Strongly agree
",Agree,Neutral,Agree,Don't know/not sure,Disagree,Neutral,Female,,1994,"Bachelors (BA, BS, AB)",Moderate,East Asian,,Working for pay,,Once or twice a month,"$60,000-$80,000"
Strongly agree,Strongly agree,Strongly agree,Very similar,modifying genes in anyway is harmful regardless the term used,Very uncomfortable,AGAIN I DON'T WANT ANY EDITED OR GENE MANIPULATION OR GENETICALLY MODIFIED FOODS!!!! ,Very uncomfortable,AGAIN I DON'T WANT ANY EDITED OR GENE MANIPULATION OR GENETICALLY MODIFIED FOODS!!!! ,Very uncomfortable,I don't believe cattle should be such close quarters. Let them roam and feed on grass instead of chaining them inside small buildings,Very uncomfortable,same answer as previous,Very uncomfortable,My family and I have become wheat intolerant because of these gene manipulations,Very uncomfortable,omg please don't keep using these methods... I won't survive,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,this is ridiculous! NO GMO'S end of story... ,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,AGAIN I DON'T WANT ANY EDITED OR GENE MANIPULATION OR GENETICALLY MODIFIED FOODS!!!! ,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,"Strongly agree
",Strongly disagree,Neutral,"Strongly agree
","Strongly agree
",Strongly disagree,"Strongly agree
","Strongly agree
",Female,,1980,"Masters (MA, MS, MBA, Med)",Liberal,White,,Other (add details here),lost my job due to Covid,"Rarely
","Greater than $100,000"
Agree,Disagree,Disagree,Somewhat different,They are somewhat different alterations to the gene with different  goals,Uncomfortable,It's all about esthetics and if it makes the product less tasty it feels like a fail,Uncomfortable,"Leave well enough alone, the tomato can stay as is",Uncomfortable,"Messing with an animals make-up, would have to consider what the worst case scenario would be keeping the horns",Very uncomfortable,A lot of milk is wasted already do to lack of sales so not sure why this would be needed,Neither comfortable nor uncomfortable,It has been going on for years so it hasn't changed much in my life,Uncomfortable,Not sure if the end product would be as good,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Female,,1974,"Bachelors (BA, BS, AB)",Very liberal,White,,Working for pay,,Never,"Greater than $100,000"
Agree,Agree,Neutral,Somewhat similar,all involve modifying the gene to attain desired results,Neither comfortable nor uncomfortable,"just don't like 
fake"" tomatoes in grocery, will wait and buy heirlooms at summer farmers markets",Neither comfortable nor uncomfortable,"no information, no decision",Neither comfortable nor uncomfortable,not enough information,Neither comfortable nor uncomfortable,not enough information,Neither comfortable nor uncomfortable,"don't know results on other aspects of the wheat -- nutrition, life of product, quality of product ... too many unknowns",Neither comfortable nor uncomfortable,don't have enough info for decision,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,1946,"Bachelors (BA, BS, AB)",Liberal,White,,Retired,,"Rarely
",I prefer not to say
Strongly agree,Strongly agree,Agree,Somewhat similar,,Very comfortable,,Uncomfortable,,Comfortable,,Comfortable,,Very comfortable,,Comfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Male,,1995,"Bachelors (BA, BS, AB)",Liberal,Middle Eastern,,Working for pay,,"Rarely
","$40,000-$50,000"
Agree,Agree,Neutral,Very different,"Process of altering, the process of using tool, and technique of ensuring.",Very comfortable,Crossbreeding of plants have gone on for generations in nature and by men,Neither comfortable nor uncomfortable,It's just a plant.  I would hope that the original would also be saved.,Uncomfortable,It leaves cattle defenseless. Like being nude. ,Neither comfortable nor uncomfortable,If it make them healthy and they produce more healthy milk. I see no problem with it.,Very comfortable,"production and protection of a base food is vital

",Comfortable,"preserving natures food is more than vital, it is survival ",,,,,Don't know/not sure,a lot of points to consider and I don't have enough information.,Don't know/not sure,more background needed,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Don't know/ not sure,Agree,Neutral,Don't know/ not sure,Don't know/ not sure,Neutral,Strongly agree,Don't know/not sure,Neutral,Agree,Don't know/not sure,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1952,"Bachelors (BA, BS, AB)",Moderate,White,,On vacation or sick leave from regular job,,"Rarely
","Less than $20,000"
Agree,Disagree,Disagree,Somewhat different,"Each manipulates genes.  One changes it completely, one changes only one part and the last focuses on inherited factors. ",Comfortable,More practical shape with same taste and texture.  Win win,Comfortable,"If science can improve the taste or nutritional value, I am good with it.  ",Uncomfortable,"The plant modifications didn’t bother me at all.  Doing it on animals increases my discomfort.  While not logical, it is my gut response.",Comfortable,As long as milk was tested and was not showing signs of major change. ,Very comfortable,Excellent use of this process.,Comfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,Would this be government regulated and the product tested by independent sources?,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Female,,1959,"Masters (MA, MS, MBA, Med)",Liberal,White,,Retired,,"Rarely
",I prefer not to say
Agree,Don't know/ not sure,Don't know/ not sure,Very different,,Don't know/not sure,,Uncomfortable,Seems as if one would be creating a new plant.,Neither comfortable nor uncomfortable,"Well, perhaps this is an example of replicating the slower method that could naturally happen.",Neither comfortable nor uncomfortable,,Uncomfortable,Does nature change plants to allow them to adapt to new conditions?,Don't know/not sure,,,,,,Don't know/not sure,"Really would like to see less use of pesticides on food crops, but if the bugs don't want to eat the plants, should humans be doing so? If there are no harmful effects on humans, then I'd say that genetic altering would be okay.",I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,Don't know/not sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Don't know/ not sure,Neutral,Agree,Don't know/ not sure,Agree,Neutral,Neutral,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Agree,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Female,,1939,"Some college, no degree",Moderate,White,,Retired,,Once a week,"Less than $20,000"
Neutral,Neutral,Neutral,Neither similar nor different,Get a lot more than you think your daughter is a. ,Very uncomfortable,For the most important part in this country is ,Neither comfortable nor uncomfortable,Can I take va medical or something like this is the. ,Comfortable,From the beginning I was a great supporter. ,Neither comfortable nor uncomfortable,Can I take you to a new one ,Neither comfortable nor uncomfortable,Get the Houston's first one to go to bed and the other ,Neither comfortable nor uncomfortable,Can we have the right to the penultimate step is a ,,,,,"A large decrease in production of gene-edited crops, in exchange for a large increase in pesticide use
 ",For example I have to say I was abou ,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",Get a table with a lot more to the penultimate ,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,"Strongly agree
",Agree,Neutral,Neutral,Male,,1975,"Some college, no degree",Conservative,White,,On vacation or sick leave from regular job,,Once a week,"$30,000-$40,000"
Agree,Agree,Disagree,Somewhat different,Editing and modify are similar.  Drives differ by manipulating its growth ,Comfortable,No one is harmed ,Neither comfortable nor uncomfortable,Doesn’t bother me ,Uncomfortable,I don’t support changing animals for human convince ,Uncomfortable,"If it’s not natural, I don’t support ",Comfortable,It doesn’t hurt anyone or animals ,Uncomfortable,I support nature ,Don't know/not sure,Too complicated for me,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,I don’t Lomé gene editing ,,,,,Neutral,Neutral,Neutral,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Don't know/not sure,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly disagree,Don't know/not sure,Agree,Don't know/not sure,Agree,Don't know/not sure,Disagree,Agree,Female,,1954,"Masters (MA, MS, MBA, Med)",Conservative,Black,,Retired,,More than once a week,"Greater than $100,000"
Agree,Agree,Strongly disagree,Don't know/not sure,I do not know what gene editing is.,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Very uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Don't know/ not sure,Don't know/ not sure,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Don't know/not sure,Neutral,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1986,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,Once or twice a month,"$60,000-$80,000"
Neutral,Disagree,Disagree,Somewhat similar,,Comfortable,,Comfortable,,Uncomfortable,"Horns are also use for protection against predators, so I'm not sure that I totally agree.",Comfortable,If this can be done without  harm to the dairy cows,Very comfortable,,Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",It would be great to drastically reduce the use of pesticide sprays etc.,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Don't know/not sure,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Don't know/ not sure,Agree,Neutral,Agree,Disagree,Don't know/not sure,Neutral,Don't know/not sure,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Don't know/not sure,Neutral,Agree,Female,,1961,Associates (2-year degree),Moderate,White,,On vacation or sick leave from regular job,,"Rarely
","$20,000-$30,000"
Neutral,Disagree,Disagree,Somewhat similar,All 3 processes tweak the natural form ,Neither comfortable nor uncomfortable,"Although I feel uncomfortable after reading this, the bottom example is what I am used to eating and will continue to do so ",Neither comfortable nor uncomfortable,This process doesn't seem as bad as others mentioned ,Very uncomfortable,"I think this is inhumane, they should figure out another way to prevent injuries ",Uncomfortable,I don't think we should be abusing the cows just to produce more milk for ourselves,Uncomfortable,Inserting a Gene from another plant feels like mutation ,Very uncomfortable,"My children love eating blueberries and eat large amounts, I would feel uncomfortable if the product was modified ",,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Don't know/not sure,Agree,Neutral,Neutral,Don't know/not sure,Agree,Female,,1985,High school diploma or GED,Liberal,East Asian,,"Unpaid household work (children, family, etc.)",,Never,"$40,000-$50,000"
Agree,Disagree,Disagree,Somewhat similar,,Comfortable,,Uncomfortable,,Comfortable,,Uncomfortable,,Very uncomfortable,,Very uncomfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Male,,1980,"Some college, no degree",Liberal,Middle Eastern,,Working for pay,,"Rarely
","Greater than $100,000"
Strongly agree,Neutral,Strongly disagree,Somewhat similar,,Comfortable,I have no problem making a product better through science. ,Comfortable,,Comfortable,It makes sense to me and seems useful.,Comfortable,,Very comfortable,We need wheat and farmers need a living.,Comfortable,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,I don't know enough to say.,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",Makes sense to me.,,,,,Agree,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Don't know/not sure,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Don't know/not sure,Don't know/not sure,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,"Strongly agree
",Neutral,Disagree,Neutral,Male,,1955,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Moderate,White,,Working for pay,,Never,"Greater than $100,000"
